FirstName;LastName;Team;Webpage;Img;Number;Position;Shoots;Height;Weight;Birthdate;Hometown
Anders;Bjork;Bruins;https://www.nhl.com/player/anders-bjork-8478075;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478075.jpg;10;LW;L;"6'0""";190;08/05/96;Mequon, WI, USA
Charlie;Coyle;Bruins;https://www.nhl.com/player/charlie-coyle-8475745;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475745.jpg;13;C;R;"6'3""";220;03/02/92;E. Weymouth, MA, USA
Jake;DeBrusk;Bruins;https://www.nhl.com/player/jake-debrusk-8478498;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478498.jpg;74;LW;L;"6'0""";188;10/17/96;Edmonton, AB, CAN
Trent;Frederic;Bruins;https://www.nhl.com/player/trent-frederic-8479365;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479365.jpg;82;C;L;"6'2""";203;02/11/98;St. Louis, MO, USA
Ondrej;Kase;Bruins;https://www.nhl.com/player/ondrej-kase-8478131;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478131.jpg;28;RW;R;"6'0""";190;11/08/95;Kadan, CZE
David;Krejci;Bruins;https://www.nhl.com/player/david-krejci-8471276;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471276.jpg;46;C;R;"6'0""";188;04/28/86;Sternberk, CZE
Karson;Kuhlman;Bruins;https://www.nhl.com/player/karson-kuhlman-8480901;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480901.jpg;83;C;R;"5'11""";185;09/26/95;Esko, MN, USA
Sean;Kuraly;Bruins;https://www.nhl.com/player/sean-kuraly-8476374;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476374.jpg;52;C;L;"6'2""";213;01/20/93;Dublin, OH, USA
Par;Lindholm;Bruins;https://www.nhl.com/player/par-lindholm-8480944;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480944.jpg;26;C;L;"6'0""";183;10/05/91;Kusmark, SWE
Brad;Marchand;Bruins;https://www.nhl.com/player/brad-marchand-8473419;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473419.jpg;63;LW;L;"5'9""";181;05/11/88;Halifax, NS, CAN
Joakim;Nordstrom;Bruins;https://www.nhl.com/player/joakim-nordstrom-8475807;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475807.jpg;20;C;L;"6'1""";194;02/25/92;Stockholm, SWE
David;Pastrnak;Bruins;https://www.nhl.com/player/david-pastrnak-8477956;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477956.jpg;88;RW;R;"6'0""";194;05/25/96;Havirov, CZE
Nick;Ritchie;Bruins;https://www.nhl.com/player/nick-ritchie-8477941;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477941.jpg;21;LW;L;"6'2""";230;12/05/95;Orangeville, ON, CAN
Zach;Senyshyn;Bruins;https://www.nhl.com/player/zach-senyshyn-8478485;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478485.jpg;19;RW;R;"6'1""";192;03/30/97;Ottawa, ON, CAN
Jack;Studnicka;Bruins;https://www.nhl.com/player/jack-studnicka-8480021;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480021.jpg;68;C;R;"6'1""";171;02/18/99;Windsor, ON, CAN
Chris;Wagner;Bruins;https://www.nhl.com/player/chris-wagner-8475780;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475780.jpg;14;RW;R;"6'0""";198;05/27/91;Walpole, MA, USA
Brandon;Carlo;Bruins;https://www.nhl.com/player/brandon-carlo-8478443;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478443.jpg;25;D;R;"6'5""";212;11/26/96;Colorado Springs, CO, USA
Zdeno;Chara;Bruins;https://www.nhl.com/player/zdeno-chara-8465009;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8465009.jpg;33;D;L;"6'9""";250;03/18/77;Trencin, SVK
Connor;Clifton;Bruins;https://www.nhl.com/player/connor-clifton-8477365;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477365.jpg;75;D;R;"5'11""";175;04/28/95;Long Branch, NJ, USA
Matt;Grzelcyk;Bruins;https://www.nhl.com/player/matt-grzelcyk-8476891;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476891.jpg;48;D;L;"5'9""";174;01/05/94;Charlestown, MA, USA
Torey;Krug;Bruins;https://www.nhl.com/player/torey-krug-8476792;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476792.jpg;47;D;L;"5'9""";186;04/12/91;Livonia, MI, USA
Jeremy;Lauzon;Bruins;https://www.nhl.com/player/jeremy-lauzon-8478468;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478468.jpg;79;D;L;"6'1""";204;04/28/97;Val D'or, QC, CAN
Charlie;McAvoy;Bruins;https://www.nhl.com/player/charlie-mcavoy-8479325;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479325.jpg;73;D;R;"6'0""";208;12/21/97;Long Beach, NY, USA
Kevan;Miller;Bruins;https://www.nhl.com/player/kevan-miller-8476191;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476191.jpg;86;D;R;"6'2""";210;11/15/87;Los Angeles, CA, USA
John;Moore;Bruins;https://www.nhl.com/player/john-moore-8475186;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475186.jpg;27;D;L;"6'2""";210;11/19/90;Winnetka, IL, USA
Urho;Vaakanainen;Bruins;https://www.nhl.com/player/urho-vaakanainen-8480001;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480001.jpg;58;D;L;"6'1""";185;01/01/99;Joensuu, FIN
Jakub;Zboril;Bruins;https://www.nhl.com/player/jakub-zboril-8478415;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478415.jpg;67;D;L;"6'0""";200;02/21/97;Brno, CZE
Jaroslav;Halak;Bruins;https://www.nhl.com/player/jaroslav-halak-8470860;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470860.jpg;41;G;--;"5'11""";185;05/13/85;Bratislava, SVK
Maxime;Lagace;Bruins;https://www.nhl.com/player/maxime-lagace-8476509;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476509.jpg;35;G;--;"6'2""";190;01/12/93;Saint-Augustin, QC, CAN
Tuukka;Rask;Bruins;https://www.nhl.com/player/tuukka-rask-8471695;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471695.jpg;40;G;--;"6'3""";176;03/10/87;Savonlinna, FIN
Dan;Vladar;Bruins;https://www.nhl.com/player/dan-vladar-8478435;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478435.jpg;80;G;--;"6'5""";185;08/20/97;Prague, CZE
Joel;Armia;Canadiens;https://www.nhl.com/player/joel-armia-8476469;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476469.jpg;40;RW;R;"6'4""";213;05/31/93;Pori, FIN
Alex;Belzile;Canadiens;https://www.nhl.com/player/alex-belzile-8475968;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475968.jpg;60;RW;R;"6'0""";192;08/31/91;Riviere-du-Loup, QC, CAN
Paul;Byron;Canadiens;https://www.nhl.com/player/paul-byron-8474038;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474038.jpg;41;LW;L;"5'9""";158;04/27/89;Ottawa, ON, CAN
Phillip;Danault;Canadiens;https://www.nhl.com/player/phillip-danault-8476479;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476479.jpg;24;C;L;"6'1""";201;02/24/93;Victoriaville, QC, CAN
Laurent;Dauphin;Canadiens;https://www.nhl.com/player/laurent-dauphin-8477460;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477460.jpg;45;C;L;"6'1""";180;03/27/95;Repentigny, QC, CAN
Max;Domi;Canadiens;https://www.nhl.com/player/max-domi-8477503;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477503.jpg;13;C;L;"5'10""";192;03/02/95;Winnipeg, MB, CAN
Jonathan;Drouin;Canadiens;https://www.nhl.com/player/jonathan-drouin-8477494;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477494.jpg;92;LW;L;"6'0""";197;03/28/95;Ste-Agathe, QC, CAN
Jake;Evans;Canadiens;https://www.nhl.com/player/jake-evans-8478133;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478133.jpg;71;C;R;"6'1""";181;06/02/96;Toronto, ON, CAN
Brendan;Gallagher;Canadiens;https://www.nhl.com/player/brendan-gallagher-8475848;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475848.jpg;11;RW;R;"5'9""";184;05/06/92;Edmonton, AB, CAN
Charles;Hudon;Canadiens;https://www.nhl.com/player/charles-hudon-8476948;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476948.jpg;54;LW;L;"5'10""";190;06/23/94;Alma, QC, CAN
Jesperi;Kotkaniemi;Canadiens;https://www.nhl.com/player/jesperi-kotkaniemi-8480829;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480829.jpg;15;C;L;"6'2""";198;07/06/00;Pori, FIN
Artturi;Lehkonen;Canadiens;https://www.nhl.com/player/artturi-lehkonen-8477476;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477476.jpg;62;LW;L;"6'0""";176;07/04/95;Piikkio, FIN
Ryan;Poehling;Canadiens;https://www.nhl.com/player/ryan-poehling-8480068;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480068.jpg;25;C;L;"6'2""";204;01/03/99;Lakeville, MN, USA
Nick;Suzuki;Canadiens;https://www.nhl.com/player/nick-suzuki-8480018;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480018.jpg;14;C;R;"5'11""";201;08/10/99;London, ON, CAN
Tomas;Tatar;Canadiens;https://www.nhl.com/player/tomas-tatar-8475193;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475193.jpg;90;LW;L;"5'10""";183;12/01/90;Ilava, SVK
Jordan;Weal;Canadiens;https://www.nhl.com/player/jordan-weal-8475738;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475738.jpg;43;C;R;"5'10""";180;04/15/92;North Vancouver, BC, CAN
Dale;Weise;Canadiens;https://www.nhl.com/player/dale-weise-8474668;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474668.jpg;22;RW;R;"6'2""";196;08/05/88;Winnipeg, MB, CAN
Josh;Brook;Canadiens;https://www.nhl.com/player/josh-brook-8479990;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479990.jpg;46;D;R;"6'1""";193;06/17/99;Roblin, MB, CAN
Ben;Chiarot;Canadiens;https://www.nhl.com/player/ben-chiarot-8475279;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475279.jpg;8;D;L;"6'3""";225;05/09/91;Hamilton, ON, CAN
Joel;Edmundson;Canadiens;https://www.nhl.com/player/joel-edmundson-8476441;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476441.jpg;44;D;L;"6'4""";215;06/28/93;Brandon, MB, CAN
Cale;Fleury;Canadiens;https://www.nhl.com/player/cale-fleury-8479985;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479985.jpg;20;D;R;"6'1""";205;11/19/98;Carlyle, SK, CAN
Christian;Folin;Canadiens;https://www.nhl.com/player/christian-folin-8477850;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477850.jpg;32;D;R;"6'4""";204;02/09/91;Gothenburg, SWE
Noah;Juulsen;Canadiens;https://www.nhl.com/player/noah-juulsen-8478454;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478454.jpg;58;D;R;"6'2""";198;04/02/97;Surrey, BC, CAN
Brett;Kulak;Canadiens;https://www.nhl.com/player/brett-kulak-8476967;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476967.jpg;77;D;L;"6'2""";190;01/06/94;Edmonton, AB, CAN
Victor;Mete;Canadiens;https://www.nhl.com/player/victor-mete-8479376;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479376.jpg;53;D;L;"5'9""";187;06/07/98;Woodbridge, ON, CAN
Gustav;Olofsson;Canadiens;https://www.nhl.com/player/gustav-olofsson-8477467;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477467.jpg;51;D;L;"6'2""";200;12/01/94;Boras, SWE
Xavier;Ouellet;Canadiens;https://www.nhl.com/player/xavier-ouellet-8476443;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476443.jpg;61;D;L;"6'1""";193;07/29/93;Bayonne, FRA
Jeff;Petry;Canadiens;https://www.nhl.com/player/jeff-petry-8473507;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473507.jpg;26;D;R;"6'3""";201;12/09/87;Ann Arbor, MI, USA
Shea;Weber;Canadiens;https://www.nhl.com/player/shea-weber-8470642;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470642.jpg;6;D;R;"6'4""";230;08/14/85;Sicamous, BC, CAN
Jake;Allen;Canadiens;https://www.nhl.com/player/jake-allen-8474596;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474596.jpg;34;G;--;"6'2""";203;08/07/90;Fredericton, NB, CAN
Charlie;Lindgren;Canadiens;https://www.nhl.com/player/charlie-lindgren-8479292;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479292.jpg;39;G;--;"6'1""";180;12/18/93;Lakeville, MN, USA
Michael;McNiven;Canadiens;https://www.nhl.com/player/michael-mcniven-8478933;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478933.jpg;70;G;--;"6'1""";205;07/09/97;Winnipeg, MB, CAN
Carey;Price;Canadiens;https://www.nhl.com/player/carey-price-8471679;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471679.jpg;31;G;--;"6'3""";217;08/16/87;Anahim Lake, BC, CAN
Cayden;Primeau;Canadiens;https://www.nhl.com/player/cayden-primeau-8480051;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480051.jpg;30;G;--;"6'3""";198;08/11/99;Farmington Hills, MI, USA
Justin;Bailey;Canucks;https://www.nhl.com/player/justin-bailey-8477473;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477473.jpg;38;RW;R;"6'4""";214;07/01/95;Buffalo, NY, USA
Jay;Beagle;Canucks;https://www.nhl.com/player/jay-beagle-8474291;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474291.jpg;83;C;R;"6'3""";210;10/16/85;Calgary, AB, CAN
Brock;Boeser;Canucks;https://www.nhl.com/player/brock-boeser-8478444;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478444.jpg;6;RW;R;"6'1""";208;02/25/97;Burnsville, MN, USA
Loui;Eriksson;Canucks;https://www.nhl.com/player/loui-eriksson-8470626;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8470626.jpg;21;LW;L;"6'2""";179;07/17/85;Gothenburg, SWE
Micheal;Ferland;Canucks;https://www.nhl.com/player/micheal-ferland-8475907;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475907.jpg;79;LW;L;"6'1""";217;04/20/92;Swan River, MB, CAN
Adam;Gaudette;Canucks;https://www.nhl.com/player/adam-gaudette-8478874;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478874.jpg;88;C;R;"6'1""";170;10/03/96;Braintree, MA, USA
Tyler;Graovac;Canucks;https://www.nhl.com/player/tyler-graovac-8476344;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476344.jpg;44;C;L;"6'5""";208;04/27/93;Brampton, ON, CAN
Bo;Horvat;Canucks;https://www.nhl.com/player/bo-horvat-8477500;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477500.jpg;53;C;L;"6'0""";215;04/05/95;London, ON, CAN
Zack;MacEwen;Canucks;https://www.nhl.com/player/zack-macewen-8479772;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479772.jpg;71;C;R;"6'3""";205;07/08/96;Charlottetown, PE, CAN
J.T.;Miller;Canucks;https://www.nhl.com/player/j-t-miller-8476468;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476468.jpg;9;C;L;"6'1""";218;03/14/93;East Palestine, OH, USA
Tyler;Motte;Canucks;https://www.nhl.com/player/tyler-motte-8477353;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477353.jpg;64;C;L;"5'10""";192;03/10/95;St. Clair, MI, USA
Tanner;Pearson;Canucks;https://www.nhl.com/player/tanner-pearson-8476871;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476871.jpg;70;LW;L;"6'1""";201;08/10/92;Kitchener, ON, CAN
Elias;Pettersson;Canucks;https://www.nhl.com/player/elias-pettersson-8480012;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480012.jpg;40;C;L;"6'2""";176;11/12/98;Sundsvall, SWE
Antoine;Roussel;Canucks;https://www.nhl.com/player/antoine-roussel-8474849;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474849.jpg;26;LW;L;"5'11""";199;11/21/89;Roubaix, FRA
Brandon;Sutter;Canucks;https://www.nhl.com/player/brandon-sutter-8474091;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474091.jpg;20;C;R;"6'3""";190;02/14/89;Huntington, NY, USA
Tyler;Toffoli;Canucks;https://www.nhl.com/player/tyler-toffoli-8475726;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475726.jpg;73;RW;R;"6'0""";197;04/24/92;Scarborough, ON, CAN
Jake;Virtanen;Canucks;https://www.nhl.com/player/jake-virtanen-8477937;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477937.jpg;18;RW;R;"6'1""";226;08/17/96;Langley, BC, CAN
Jordie;Benn;Canucks;https://www.nhl.com/player/jordie-benn-8474818;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474818.jpg;4;D;L;"6'2""";199;07/26/87;Victoria, BC, CAN
Jalen;Chatfield;Canucks;https://www.nhl.com/player/jalen-chatfield-8478970;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478970.jpg;63;D;R;"6'1""";188;05/15/96;Ypsilanti, MI, USA
Alexander;Edler;Canucks;https://www.nhl.com/player/alexander-edler-8471303;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471303.jpg;23;D;L;"6'3""";212;04/21/86;Ostersund, SWE
Oscar;Fantenberg;Canucks;https://www.nhl.com/player/oscar-fantenberg-8480147;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480147.jpg;5;D;L;"6'0""";206;10/07/91;Ljunby, SWE
Quinn;Hughes;Canucks;https://www.nhl.com/player/quinn-hughes-8480800;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480800.jpg;43;D;L;"5'10""";170;10/14/99;Orlando, FL, USA
Olli;Juolevi;Canucks;https://www.nhl.com/player/olli-juolevi-8479355;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479355.jpg;48;D;L;"6'2""";182;05/05/98;Helsinki, FIN
Tyler;Myers;Canucks;https://www.nhl.com/player/tyler-myers-8474574;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474574.jpg;57;D;R;"6'8""";229;02/01/90;Houston, TX, USA
Brogan;Rafferty;Canucks;https://www.nhl.com/player/brogan-rafferty-8481479;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481479.jpg;3;D;R;"6'0""";195;05/28/95;West Dundee, IL, USA
Troy;Stecher;Canucks;https://www.nhl.com/player/troy-stecher-8479442;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479442.jpg;51;D;R;"5'10""";186;04/07/94;Richmond, BC, CAN
Christopher;Tanev;Canucks;https://www.nhl.com/player/christopher-tanev-8475690;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475690.jpg;8;D;R;"6'2""";197;12/20/89;Toronto, ON, CAN
Thatcher;Demko;Canucks;https://www.nhl.com/player/thatcher-demko-8477967;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477967.jpg;35;G;--;"6'4""";192;12/08/95;San Diego, CA, USA
Louis;Domingue;Canucks;https://www.nhl.com/player/louis-domingue-8475839;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475839.jpg;30;G;--;"6'3""";208;03/06/92;St-Hyacinthe, QC, CAN
Jake;Kielly;Canucks;https://www.nhl.com/player/jake-kielly-8481478;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481478.jpg;30;G;--;"6'2""";201;09/10/96;Eden Prairie, MN, USA
Jacob;Markstrom;Canucks;https://www.nhl.com/player/jacob-markstrom-8474593;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474593.jpg;25;G;--;"6'6""";206;01/31/90;Gävle, SWE
Nicklas;Backstrom;Capitals;https://www.nhl.com/player/nicklas-backstrom-8473563;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473563.jpg;19;C;L;"6'1""";206;11/23/87;Gävle, SWE
Travis;Boyd;Capitals;https://www.nhl.com/player/travis-boyd-8476329;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476329.jpg;72;C;R;"6'0""";190;09/14/93;Hopkins, MN, USA
Nic;Dowd;Capitals;https://www.nhl.com/player/nic-dowd-8475343;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475343.jpg;26;C;R;"6'1""";195;05/27/90;Huntsville, AL, USA
Lars;Eller;Capitals;https://www.nhl.com/player/lars-eller-8474189;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474189.jpg;20;C;L;"6'2""";205;05/08/89;Rodovre, DNK
Shane;Gersich;Capitals;https://www.nhl.com/player/shane-gersich-8478063;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478063.jpg;63;LW;L;"6'0""";180;07/10/96;Chaska, MN, USA
Carl;Hagelin;Capitals;https://www.nhl.com/player/carl-hagelin-8474176;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474176.jpg;62;LW;L;"6'0""";185;08/23/88;Sodertalje, SWE
Garnet;Hathaway;Capitals;https://www.nhl.com/player/garnet-hathaway-8477903;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477903.jpg;21;RW;R;"6'3""";210;11/23/91;Kennebunkport, ME, USA
Ilya;Kovalchuk;Capitals;https://www.nhl.com/player/ilya-kovalchuk-8469454;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8469454.jpg;17;LW;R;"6'3""";222;04/15/83;Tver, RUS
Evgeny;Kuznetsov;Capitals;https://www.nhl.com/player/evgeny-kuznetsov-8475744;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475744.jpg;92;C;L;"6'2""";197;05/19/92;Chelyabinsk, RUS
Philippe;Maillet;Capitals;https://www.nhl.com/player/philippe-maillet-8477544;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477544.jpg;16;C;L;"5'10""";190;11/07/92;Lachenai, QC, CAN
Beck;Malenstyn;Capitals;https://www.nhl.com/player/beck-malenstyn-8479359;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479359.jpg;47;LW;L;"6'3""";200;02/04/98;Delta, BC, CAN
Connor;McMichael;Capitals;https://www.nhl.com/player/connor-mcmichael-8481580;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481580.jpg;24;C;L;"6'0""";183;01/15/01;Ajax, ON, CAN
T.J.;Oshie;Capitals;https://www.nhl.com/player/t-j-oshie-8471698;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471698.jpg;77;RW;R;"6'0""";195;12/23/86;Everett, WA, USA
Alex;Ovechkin;Capitals;https://www.nhl.com/player/alex-ovechkin-8471214;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8471214.jpg;8;LW;R;"6'3""";236;09/17/85;Moscow, RUS
Richard;Panik;Capitals;https://www.nhl.com/player/richard-panik-8475209;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475209.jpg;14;RW;L;"6'2""";202;02/07/91;Martin, SVK
Garrett;Pilon;Capitals;https://www.nhl.com/player/garrett-pilon-8479516;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479516.jpg;40;C;R;"6'0""";192;04/13/98;Kindersley, SK, CAN
Brian;Pinho;Capitals;https://www.nhl.com/player/brian-pinho-8477314;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477314.jpg;64;C;R;"6'1""";193;05/11/95;Beverly, MA, USA
Daniel;Sprong;Capitals;https://www.nhl.com/player/daniel-sprong-8478466;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478466.jpg;10;RW;R;"5'11""";191;03/17/97;Amsterdam, NLD
Jakub;Vrana;Capitals;https://www.nhl.com/player/jakub-vrana-8477944;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477944.jpg;13;LW;L;"6'0""";195;02/28/96;Prague, CZE
Tom;Wilson;Capitals;https://www.nhl.com/player/tom-wilson-8476880;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476880.jpg;43;RW;R;"6'4""";220;03/29/94;Toronto, ON, CAN
Alexander;Alexeyev;Capitals;https://www.nhl.com/player/alexander-alexeyev-8480823;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480823.jpg;27;D;L;"6'4""";210;11/15/99;St. Petersburg, RUS
John;Carlson;Capitals;https://www.nhl.com/player/john-carlson-8474590;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474590.jpg;74;D;R;"6'3""";217;01/10/90;Natick, MA, USA
Brenden;Dillon;Capitals;https://www.nhl.com/player/brenden-dillon-8475455;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475455.jpg;4;D;L;"6'4""";225;11/13/90;New Westminster, BC, CAN
Martin;Fehervary;Capitals;https://www.nhl.com/player/martin-fehervary-8480796;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480796.jpg;42;D;L;"6'2""";200;10/06/99;Bratislava, SVK
Radko;Gudas;Capitals;https://www.nhl.com/player/radko-gudas-8475462;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475462.jpg;33;D;R;"6'0""";205;06/05/90;Prague, CZE
Nick;Jensen;Capitals;https://www.nhl.com/player/nick-jensen-8475324;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475324.jpg;3;D;R;"6'1""";196;09/21/90;Rogers, MN, USA
Michal;Kempny;Capitals;https://www.nhl.com/player/michal-kempny-8479482;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479482.jpg;6;D;L;"6'1""";195;09/08/90;Hodonin, CZE
Tyler;Lewington;Capitals;https://www.nhl.com/player/tyler-lewington-8477343;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477343.jpg;78;D;R;"6'2""";200;12/05/94;Edmonton, AB, CAN
Dmitry;Orlov;Capitals;https://www.nhl.com/player/dmitry-orlov-8475200;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475200.jpg;9;D;L;"5'11""";208;07/23/91;Novokuznetsk, RUS
Jonas;Siegenthaler;Capitals;https://www.nhl.com/player/jonas-siegenthaler-8478399;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478399.jpg;34;D;L;"6'3""";210;05/06/97;Zurich, CHE
Pheonix;Copley;Capitals;https://www.nhl.com/player/pheonix-copley-8477831;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477831.jpg;1;G;--;"6'4""";200;01/18/92;North Pole, AK, USA
Braden;Holtby;Capitals;https://www.nhl.com/player/braden-holtby-8474651;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474651.jpg;70;G;--;"6'2""";214;09/16/89;Lloydminster, SK, CAN
Ilya;Samsonov;Capitals;https://www.nhl.com/player/ilya-samsonov-8478492;https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478492.jpg;30;G;--;"6'3""";208;02/22/97;Magnitogorsk, RUS
